Job Link,Job Requirement 1,Job Requirement 2,Job Requirement 3,Job Requirement 4,Job Requirement 5,Job Requirement 6,Job Requirement 7,Job Requirement 8,Job Requirement 9,Job Requirement 10
https://il.linkedin.com/jobs/view/ai-algorithms-developer-at-sony-semicon-il-3979324691?position=1&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=j5QNl6noMFsUGEoWWGRNdw%3D%3D&trk=public_jobs_jserp-result_search-card,"Experience with deep learning frameworks such as TensorFlow, PyTorch, etc.",Experience with Python,,,,,,,,
https://il.linkedin.com/jobs/view/data-scientist-at-kaltura-3970771367?position=2&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=RQrfUQIcYqxekBKrndceaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Build predictive models to improve user experience, engagement, and retention.","3+ years of experience in data science, machine learning, or AI roles.","Experience with machine learning frameworks and libraries such as TensorFlow, PyTorch, scikit-learn, etc.","Strong analytical skills and experience with data visualization tools (e.g., Tableau, Power BI).","Experience working with large datasets and distributed computing (e.g., Hadoop, Spark).",Experience with video technology and SaaS products is a plus.,,,,
https://il.linkedin.com/jobs/view/ml-dl-engineer-at-fetcherr-3925058020?position=3&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=PjQRoMt5ou%2BLvHXDWLYc2w%3D%3D&trk=public_jobs_jserp-result_search-card,3+ years of hands-on experience in data science and machine learning.,"Expertise in time-series forecasting, with experience working in demand forecasting or related contexts.","Strong coding skills in Python and SQL, with experience using related open-source libraries and frameworks, including TensorFlow/PyTorch and Pandas.",Experience building tabular machine learning models using gradient boosting methods and deep learning,"Experience in leveraging deep learning and machine learning in domains such as finance/trading, reinforcement learning, or natural language processing.",Experience with MLOps and cloud platforms like GCP.,Experience with workflow orchestration tools like Apache Airflow or Dagster to schedule and monitor machine learning workflows.,,,
https://il.linkedin.com/jobs/view/software-engineer-at-way2deep-ltd-3982949106?position=4&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=jjFZxRxPcO8AIjB%2Bloe9vg%3D%3D&trk=public_jobs_jserp-result_search-card,Experience in Deep Learning– an advantage,Experience in biomedical image processing – an advantage,,,,,,,,
https://il.linkedin.com/jobs/view/artificial-intelligence-researcher-at-kaltura-3970765610?position=5&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=BPRVV5IfJI6MOaPvjjrmMw%3D%3D&trk=public_jobs_jserp-result_search-card,Proven experience in conducting research and publishing papers in reputable conferences and journals.,"Proficiency in programming languages such as Python, R, and experience with ML frameworks like TensorFlow, PyTorch, or similar.","Experience with data preprocessing, feature engineering, and model evaluation.",Experience with natural language processing (NLP) and computer vision.,Experience working in an Agile development environment.,Prior experience in a similar role within the technology or media industry.,,,,
https://il.linkedin.com/jobs/view/python-developer-llm-project-at-yo-hr-consultancy-3968545638?position=6&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=AD1O7KrQ037sMlkeLX7dOg%3D%3D&trk=public_jobs_jserp-result_search-card,"Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)",At least 2+ years of relevant experience with Python,"Industry experience and knowledge of code quality, formatting, and best practices of software development",,,,,,,
https://il.linkedin.com/jobs/view/ai-researcher-at-kaltura-3971208267?position=7&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=hIuvOrab4%2BvpWbyzaxGROg%3D%3D&trk=public_jobs_jserp-result_search-card,Proven experience in conducting research and publishing papers in reputable conferences and journals. ,"Proficiency in programming languages such as Python, R, and experience with ML frameworks like TensorFlow, PyTorch, or similar. ","Experience with data preprocessing, feature engineering, and model evaluation. ",Experience with natural language processing (NLP) and computer vision. ,Experience working in an Agile development environment. ,Prior experience in a similar role within the technology or media industry. ,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-evinced-3903600912?position=8&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=atgIf4xlF%2BdyCVi%2BaEJTaA%3D%3D&trk=public_jobs_jserp-result_search-card,5+ years of experience as a ML engineer/software developer,"Experience in utilizing machine learning, especially generative models in solutions that made it to production","Experience with cloud services (AWS, GCP, Azure)",Experience in building RAG applications and/or working with vector databases ,,,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-isi-imagesat-international-3896202282?position=9&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=46PloFdqaorHSrFspXhl0A%3D%3D&trk=public_jobs_jserp-result_search-card,Minimum of 5 years of hands-on experience in Python programming for machine learning applications.,"Experience with AWS cloud services, focusing on storage and messaging; familiarity with hybrid cloud/on-prem environments is a plus.",Background in GIS and experience processing large-scale satellite or drone imagery.,"Vast experience designing and implementing end-to-end ML pipelines and tools, including components such as experiment tracking, data version control, and scalable training pipelines.",Experience with distributed computing frameworks such as DASK or Ray.,,,,,
https://il.linkedin.com/jobs/view/data-science-engineer-3903718748?position=10&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=xU0rfDEByoCxltU%2ByGqhzw%3D%3D&trk=public_jobs_jserp-result_search-card,3+ years of experience in data science,1 year of experience in Natural Language Processing (NLP) research or related fields,AI / ML experience with Big Data,"Experience with Deep Learning architectures - CNN, RNN, LSTM, Transformer, etc","Experience with TensorFlow, PyTorch, sci-kit learn, etc",Experience with Hierarchical Multimodal Classifier,Experience with transfer learning,Experience with AWS infrastructure,,
https://il.linkedin.com/jobs/view/expert-ai-ml-algorithm-developer-multiple-position-at-q-ai-3979917053?position=11&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=PtI13NIxmXbZzsYImDiSMQ%3D%3D&trk=public_jobs_jserp-result_search-card,At least 5 years experience in machine learning.,"Experience with large-scale data processing, design and performance evaluation",Experience with natural language processing (NLP) – advantage,Experience with Speech and ASR – advantage,Experience in image processing and computer vision – advantage,,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-workday-3957556334?position=13&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=o53dIGY7adhFj9AeSSkMzQ%3D%3D&trk=public_jobs_jserp-result_search-card,"3+ yrs experience as a member of a data science or machine learning science, machine learning engineering, or other relevant software development team.","Proficiency in Python and supporting numeric libraries, with experience in shipping production code and models.","Experience in machine learning and deep learning frameworks & toolkits such as Pytorch, Tensorflow, and Sklearn. ","Experience with generative models, large language models, and transformer based deep neural networks.",Experience with data engineering and data wrangling using e.g. Pandas and PySpark.,"Experience with cloud computing platforms (e.g. AWS, GCP) and containerization technologies (e.g. Docker).","Standout colleague, strong communication skills, with experience working across functions and teams.",,,
https://il.linkedin.com/jobs/view/software-engineer-generative-ai-at-candivore-3982931347?position=14&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=z162MZv5PK9aPUMyf1dIYQ%3D%3D&trk=public_jobs_jserp-result_search-card,4+ years of experience as a software engineer,Experience developing applications using GenAI models,Experience with Natural Language Processing (NLP) and computer vision technologies,,,,,,,
https://il.linkedin.com/jobs/view/applied-data-scientist-at-oasis-security-3971538651?position=15&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=deRo%2B8j8Bkt6pDjwbCGhgA%3D%3D&trk=public_jobs_jserp-result_search-card,"Proven experience as a Data Scientist, with a focus on applied data science in real-world settings.","Strong proficiency in programming languages such as Python, TypeScript, Java etc. 3 years of experience or more.","Experience with machine learning frameworks and libraries such as TensorFlow, PyTorch, scikit-learn, etc.",,,,,,,
https://il.linkedin.com/jobs/view/algorithm-engineer-at-yoom-3727701329?position=17&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=BZxEmiF02bqrjoJSDBLksg%3D%3D&trk=public_jobs_jserp-result_search-card, 3+ years of experience with computer vision algorithms," Experience with state-of-the-art algorithms for deep learning frameworks (Tensorflow, PyTorch, etc.)",,,,,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-workday-3957557309?position=18&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=grNfZkM0FhA55XuSumeThQ%3D%3D&trk=public_jobs_jserp-result_search-card,"3+ yrs experience as a member of a data science or machine learning science, machine learning engineering, or other relevant software development team.","Proficiency in Python and supporting numeric libraries, with experience in shipping production code and models.","Experience in machine learning and deep learning frameworks & toolkits such as Pytorch, Tensorflow, and Sklearn. ","Experience with generative models, large language models, and transformer based deep neural networks.",Experience with data engineering and data wrangling using e.g. Pandas and PySpark.,"Experience with cloud computing platforms (e.g. AWS, GCP) and containerization technologies (e.g. Docker).","Standout colleague, strong communication skills, with experience working across functions and teams.",,,
https://il.linkedin.com/jobs/view/research-scientist-combinatorial-optimization-edge-ai-at-sony-semicon-il-3959391572?position=19&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=SRKaQfKEKObgMzQzPqzqfw%3D%3D&trk=public_jobs_jserp-result_search-card,"Experience with deep learning frameworks (e.g., PyTorch, TensorFlow). ",Experience in theoretical and empirical research and in addressing research problems. ,Experience in combinatorial and non-convex optimizations. ,Experience communicating research for public audiences of peers. ,,,,,,
https://il.linkedin.com/jobs/view/data-scientist-at-varonis-3959027941?position=20&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=mwtj6icr4Rkahxw%2FyOBCgg%3D%3D&trk=public_jobs_jserp-result_search-card,Proficiency in Python and experience with popular deep learning frameworks such as TensorFlow or PyTorch. ,Experience with prompt engineering techniques. ,Experience with vector databases and embedding techniques. ,Experience with OpenAI and HuggingFace models. ,Experience with fine-tuning of LLMs is a plus. ,Experience with PySpark and Databricks is a plus. ,Strong attention to detail and a passion for creating exceptional user experiences. ,,,
https://il.linkedin.com/jobs/view/data-science-specialist-at-oracle-3972642063?position=21&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=VCWsnGXtutOJZuwRzTCz2g%3D%3D&trk=public_jobs_jserp-result_search-card, Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. , Experience working with customer data science teams to address and solve business problems. ," Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ", Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. , Experience working with customer data science teams to address and solve business problems. ," Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ",,
https://il.linkedin.com/jobs/view/software-embedded-engineer-at-ceva-inc-3924101430?position=22&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=xloQnt%2BlK%2FF5bwAhyorG4Q%3D%3D&trk=public_jobs_jserp-result_search-card,3-5 years of experience in building high-quality embedded software using C/C++,Experience in designing and implementing embedded software based on hardware specifications,Experience in data-flow optimization using profiling tools.,Experience in C Make project configuration and build.,,,,,,
https://il.linkedin.com/jobs/view/data-science-specialist-at-mygwork-lgbtq%2B-business-community-3973068967?position=24&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=l4ndHwli6IlURAP%2FFK4J9Q%3D%3D&trk=public_jobs_jserp-result_search-card,Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. ,Experience working with customer data science teams to address and solve business problems. ,"Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ",Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. ,Experience working with customer data science teams to address and solve business problems. ,"Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ",,
https://il.linkedin.com/jobs/view/head-of-data-science-at-skyhawk-security-3958921903?position=25&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=jf9ClN6u%2FL9lmpqIo6GE3A%3D%3D&trk=public_jobs_jserp-result_search-card,"5+ years’ experience in Machine Learning and AI, and in delivering AI/LLM models into production.",2+ years’ experience in leading Data Science teams,Hands-on experience with data science packages (Scikit and Py Torch/ TensorFlow),"Experienced with working in a cloud environment mainly Amazon Web Services, Google Cloud Platform or MS-Azure as advantage.","Experience with Big Data environments (e.g., Py Spark)","Deep Learning experience, preferably for NLP for Tabular data",Experience in the cyber security domain – an advantage,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-forter-3949245908?position=27&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=ciKCr5JYzIHm8X2FALX6mg%3D%3D&trk=public_jobs_jserp-result_search-card,"4+ years developing complex software projects with at least one of general-purpose languages (preferably Python) and ML libraries like TensorFlow, PyTorch, or scikit-learn.","Experience in collaborating with data scientists, researchers and/or ML engineers, working with machine learning concepts and frameworks",Experience working with public clouds (AWS / GCP / Azure),"Experience with large-scale data processing, ideally with Apache Spark.",,,,,,
